"task","success","steps","episode_length","exception"
"AudioRecorderRecordAudio","False","12.0","12.0","False"
"AudioRecorderRecordAudioWithFileName","False","20.0","20.0","False"
"BrowserDraw","False","20.0","20.0","False"
"BrowserMaze","False","20.0","20.0","False"
"BrowserMultiply","False","21.0","21.0","False"
"CameraTakePhoto","False","10.0","10.0","False"
"ClockStopWatchRunning","True","6.0","6.0","False"
"ClockTimerEntry","False","10.0","10.0","False"
"ContactsAddContact","True","9.0","9.0","False"
"ContactsNewContactDraft","False","0.0","0.0","True"
"ExpenseAddSingle","False","12.0","12.0","False"
"ExpenseDeleteMultiple2","True","17.0","17.0","False"
"ExpenseDeleteSingle","True","5.0","5.0","False"
"FilesDeleteFile","False","5.0","5.0","False"
"FilesMoveFile","False","20.0","20.0","False"
"MarkorCreateFolder","True","5.0","5.0","False"
"MarkorCreateNote","False","9.0","9.0","False"
"MarkorEditNote","False","4.0","4.0","False"
"NotesIsTodo","True","10.0","10.0","False"
"NotesRecipeIngredientCount","False","10.0","10.0","False"
"OsmAndFavorite","True","8.0","8.0","False"
"OsmAndMarker","True","6.0","6.0","False"
"SimpleCalendarEventsInTimeRange","True","3.0","3.0","False"
"SimpleCalendarNextMeetingWithPerson","True","6.0","6.0","False"
"SimpleDrawProCreateDrawing","True","10.0","10.0","False"
"SportsTrackerActivityDuration","False","10.0","10.0","False"
"SportsTrackerTotalDistanceForCategoryOverInterval","False","20.0","20.0","False"
"SystemBrightnessMinVerify","False","10.0","10.0","False"
"SystemWifiTurnOffVerify","True","7.0","7.0","False"
"SystemWifiTurnOnVerify","False","6.0","6.0","False"
