metric,value
activity_calls,1801.0
branch_full_a11y_calls,1145.0
cached_state_hits,0.0
depth2_blocked_by_hash_unchanged_count,155.0
depth2_blocked_by_no_typed_candidate_count,0.0
depth2_blocked_by_safety_count,0.0
depth2_blocked_by_semantic_unchanged_count,56.0
depth2_blocked_by_should_expand_count,450.0
full_a11y_calls,1476.0
passive_no_get_state_count,0.0
rollback_full_a11y_fallback_count,0.0
rollback_full_a11y_fallbacks,0.0
rollback_light_verify_count,0.0
root_state_reuse_count,320.0
rooted_depth1_only_count,0.0
rooted_depth2_count,0.0
screenshot_calls,622.0
searchinput_t2_candidate_count,0.0
t2_candidate_count,0.0
