"task","success","steps","episode_length","exception"
"AudioRecorderRecordAudio","False","12.0","12.0","False"
"AudioRecorderRecordAudioWithFileName","False","0.0","0.0","True"
"BrowserDraw","False","0.0","0.0","True"
"BrowserMaze","False","0.0","0.0","True"
"BrowserMultiply","False","0.0","0.0","True"
"CameraTakePhoto","False","4.0","4.0","False"
"ClockStopWatchRunning","True","4.0","4.0","False"
"ClockTimerEntry","False","0.0","0.0","True"
"ContactsAddContact","False","0.0","0.0","True"
"ContactsNewContactDraft","False","0.0","0.0","True"
"ExpenseAddSingle","False","0.0","0.0","True"
"ExpenseDeleteMultiple2","False","0.0","0.0","True"
"ExpenseDeleteSingle","True","5.0","5.0","False"
"FilesDeleteFile","False","0.0","0.0","True"
"FilesMoveFile","False","0.0","0.0","True"
"MarkorCreateFolder","True","5.0","5.0","False"
"MarkorCreateNote","False","0.0","0.0","True"
"MarkorEditNote","False","0.0","0.0","True"
"NotesIsTodo","False","0.0","0.0","True"
"NotesRecipeIngredientCount","False","0.0","0.0","True"
"OsmAndFavorite","False","0.0","0.0","True"
"OsmAndMarker","False","0.0","0.0","True"
"SimpleCalendarEventsInTimeRange","False","0.0","0.0","True"
"SimpleCalendarNextMeetingWithPerson","False","0.0","0.0","True"
"SimpleDrawProCreateDrawing","False","0.0","0.0","True"
"SportsTrackerActivityDuration","False","0.0","0.0","True"
"SportsTrackerTotalDistanceForCategoryOverInterval","False","0.0","0.0","True"
"SystemBrightnessMinVerify","False","10.0","10.0","False"
"SystemWifiTurnOffVerify","True","3.0","3.0","False"
"SystemWifiTurnOnVerify","False","5.0","5.0","False"
