task_template,num_episodes,total_steps,total_elements_seen,avg_steps_per_episode,avg_elements_per_episode,avg_elements_per_step_weighted,avg_elements_per_step_unweighted
AudioRecorderRecordAudio,1,11,0,11.0,0.0,0.0,0.0
AudioRecorderRecordAudioWithFileName,1,15,0,15.0,0.0,0.0,0.0
BrowserDraw,1,20,0,20.0,0.0,0.0,0.0
BrowserMaze,1,20,0,20.0,0.0,0.0,0.0
BrowserMultiply,1,20,0,20.0,0.0,0.0,0.0
CameraTakePhoto,1,10,0,10.0,0.0,0.0,0.0
CameraTakeVideo,1,9,0,9.0,0.0,0.0,0.0
ClockStopWatchPausedVerify,1,3,0,3.0,0.0,0.0,0.0
ClockStopWatchRunning,1,6,0,6.0,0.0,0.0,0.0
ClockTimerEntry,1,10,0,10.0,0.0,0.0,0.0
ContactsAddContact,1,10,0,10.0,0.0,0.0,0.0
ContactsNewContactDraft,1,11,0,11.0,0.0,0.0,0.0
ExpenseAddMultiple,1,20,0,20.0,0.0,0.0,0.0
ExpenseAddMultipleFromGallery,1,8,0,8.0,0.0,0.0,0.0
ExpenseAddMultipleFromMarkor,1,20,0,20.0,0.0,0.0,0.0
ExpenseAddSingle,1,12,0,12.0,0.0,0.0,0.0
ExpenseDeleteDuplicates,1,8,0,8.0,0.0,0.0,0.0
ExpenseDeleteDuplicates2,1,11,0,11.0,0.0,0.0,0.0
ExpenseDeleteMultiple,1,11,0,11.0,0.0,0.0,0.0
ExpenseDeleteMultiple2,1,20,0,20.0,0.0,0.0,0.0
ExpenseDeleteSingle,1,5,0,5.0,0.0,0.0,0.0
FilesDeleteFile,1,1,0,1.0,0.0,0.0,0.0
FilesMoveFile,1,1,0,1.0,0.0,0.0,0.0
MarkorAddNoteHeader,1,12,0,12.0,0.0,0.0,0.0
MarkorChangeNoteContent,1,12,0,12.0,0.0,0.0,0.0
MarkorCreateFolder,1,10,0,10.0,0.0,0.0,0.0
MarkorCreateNote,1,10,0,10.0,0.0,0.0,0.0
MarkorCreateNoteAndSms,1,18,0,18.0,0.0,0.0,0.0
MarkorCreateNoteFromClipboard,1,9,0,9.0,0.0,0.0,0.0
MarkorDeleteAllNotes,1,7,0,7.0,0.0,0.0,0.0
MarkorDeleteNewestNote,1,5,0,5.0,0.0,0.0,0.0
MarkorDeleteNote,1,5,0,5.0,0.0,0.0,0.0
MarkorEditNote,1,8,0,8.0,0.0,0.0,0.0
MarkorMergeNotes,1,20,0,20.0,0.0,0.0,0.0
MarkorMoveNote,1,14,0,14.0,0.0,0.0,0.0
MarkorTranscribeReceipt,1,18,0,18.0,0.0,0.0,0.0
MarkorTranscribeVideo,1,20,0,20.0,0.0,0.0,0.0
NotesIsTodo,1,4,0,4.0,0.0,0.0,0.0
