task_template,app_names,app_combo,goal,num_steps,total_elements_seen,avg_elements_per_step,step_ui_element_counts
AudioRecorderRecordAudio,audio recorder,audio recorder,Record an audio clip using Audio Recorder app and save it.,11,0,0.0,0|0|0|0|0|0|0|0|0|0|0
AudioRecorderRecordAudioWithFileName,audio recorder,audio recorder,"Record an audio clip and save it with name ""presentation_fGwr.m4a"" using Audio Recorder app.",15,0,0.0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
BrowserDraw,chrome,chrome,Open the file task.html in Downloads in the file manager; when prompted open it with Chrome. Then create a drawing using the three colors shown at the top and hit submit.,20,0,0.0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
BrowserMaze,chrome,chrome,"Open the file task.html in Downloads in the file manager; when prompted open it with Chrome. Then navigate the X to the bottom-right cell, by using the direction buttons.",20,0,0.0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
BrowserMultiply,chrome,chrome,"Open the file task.html in Downloads in the file manager; when prompted open it with Chrome. Then click the button 5 times, remember the numbers displayed, and enter their product in the form.",20,0,0.0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
CameraTakePhoto,camera,camera,Take one photo.,10,0,0.0,0|0|0|0|0|0|0|0|0|0
CameraTakeVideo,camera,camera,Take one video.,9,0,0.0,0|0|0|0|0|0|0|0|0
ClockStopWatchPausedVerify,clock,clock,Pause the stopwatch.,3,0,0.0,0|0|0
ClockStopWatchRunning,clock,clock,Run the stopwatch.,6,0,0.0,0|0|0|0|0|0
ClockTimerEntry,clock,clock,"Create a timer with 0 hours, 16 minutes, and 35 seconds. Do not start the timer.",10,0,0.0,0|0|0|0|0|0|0|0|0|0
ContactsAddContact,contacts,contacts,Create a new contact for Hugo Pereira. Their number is +13920741751.,10,0,0.0,0|0|0|0|0|0|0|0|0|0
ContactsNewContactDraft,contacts,contacts,"Go to the new contact screen and enter the following details: First Name: Grace, Last Name: Taylor, Phone: 799-802-1530, Phone Label: Work. Do NOT hit save.",11,0,0.0,0|0|0|0|0|0|0|0|0|0|0
ExpenseAddMultiple,pro expense,pro expense,"Add the following expenses into the pro expense:
Expense: Social Club Dues
 amount_dollars: $67.41
 category_name: Social
 note: Monthly recurring

Expense: Legal Fees
 amount_dollars: $10.14
 category_name: Others
 note: Monthly recurring

Expense: Stationery
 amount_dollars: $118.93
 category_name: Others
 note: Remember to transfer funds
",20,0,0.0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
ExpenseAddMultipleFromGallery,pro expense|simple gallery pro,pro expense + simple gallery pro,Add the expenses from expenses.jpg in Simple Gallery Pro to pro expense.,8,0,0.0,0|0|0|0|0|0|0|0
ExpenseAddMultipleFromMarkor,pro expense,pro expense,Go through the transactions in my_expenses.txt in Markor. Log the reimbursable transactions in the pro expense.,20,0,0.0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
ExpenseAddSingle,pro expense,pro expense,"Add the following expenses into the pro expense:
Expense: Therapy Sessions
 amount_dollars: $307.01
 category_name: Health Care
 note: I may repeat this
",12,0,0.0,0|0|0|0|0|0|0|0|0|0|0|0
ExpenseDeleteDuplicates,pro expense,pro expense,"Delete all but one of any expenses in pro expense that are exact duplicates, ensuring at least one instance of each unique expense remains.",8,0,0.0,0|0|0|0|0|0|0|0
ExpenseDeleteDuplicates2,pro expense,pro expense,"Delete all but one of any expenses in pro expense that are exact duplicates, ensuring at least one instance of each unique expense remains.",11,0,0.0,0|0|0|0|0|0|0|0|0|0|0
ExpenseDeleteMultiple,pro expense,pro expense,"Delete the following expenses from pro expense: Ride-Sharing, Flight Tickets, Taxi Fare.",11,0,0.0,0|0|0|0|0|0|0|0|0|0|0
ExpenseDeleteMultiple2,pro expense,pro expense,"Delete the following expenses from pro expense: Streaming Services, Unexpected Expenses, Pet Supplies.",20,0,0.0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
ExpenseDeleteSingle,pro expense,pro expense,Delete the following expenses from pro expense: Rental Income.,5,0,0.0,0|0|0|0|0
FilesDeleteFile,files,files,Delete the file q2a8_fancy_banana.mp3 from the Android filesystem located in the Notifications folder within the sdk_gphone_x86_64 storage area.,1,0,0.0,0
FilesMoveFile,files,files,Move the file holiday_photos.jpg from Podcasts within the sdk_gphone_x86_64 storage area to the DCIM within the same sdk_gphone_x86_64 storage area in the Android filesystem.,1,0,0.0,0
MarkorAddNoteHeader,markor,markor,"Update the Markor note 2023_08_10_neat_wolf.txt by adding the following text, along with a new blank line before the existing content: ""RnI8sP34yDzJQbvkfplR"", and rename it to busy_wolf_2023_07_23.txt.",12,0,0.0,0|0|0|0|0|0|0|0|0|0|0|0
MarkorChangeNoteContent,markor,markor,"Update the content of strong_jacket_h1hZ.txt to ""inNqu8UNNtyXBHCZpYp7"" in Markor and change its name to lively_fox_2023_03_22.md.",12,0,0.0,0|0|0|0|0|0|0|0|0|0|0|0
